,Model,Dataset,Metric,Mean,Std
0,FMP,german_e,Error Gap,0.07088172435760498,0.0
1,FairGNN,german_e,Error Gap,0.009102334450586662,0.0
2,FairRegGNN,german_e,Error Gap,0.009652920290195731,0.0
3,GATRegressor,german_e,Error Gap,0.08405373245477676,0.0
4,GCNRegressor,german_e,Error Gap,0.03707626461982727,0.0
5,GINRegressor,german_e,Error Gap,0.11180436611175537,0.0
6,GMMD,german_e,Error Gap,0.11758052728128865,0.0
7,GraphSAGERegressor,german_e,Error Gap,0.08907094597816467,0.0
8,MLPRegressor,german_e,Error Gap,0.14221006631851196,0.0
9,FMP,german_f,Error Gap,0.046874821186065674,0.0
10,FairGNN,german_f,Error Gap,0.0020070294578658342,0.0
11,FairRegGNN,german_f,Error Gap,0.005194018071895023,0.0
12,GATRegressor,german_f,Error Gap,0.06506221741437912,0.0
13,GCNRegressor,german_f,Error Gap,0.05422374606132507,0.0
14,GINRegressor,german_f,Error Gap,0.1812260576002493,0.0
15,GMMD,german_f,Error Gap,0.09895908832550049,0.0
16,GraphSAGERegressor,german_f,Error Gap,0.09272091090679169,0.0
17,MLPRegressor,german_f,Error Gap,0.11659112572669983,0.0
18,FMP,german_g,Error Gap,0.04768359661102295,0.0
19,FairGNN,german_g,Error Gap,0.01680372623776644,0.0
20,FairRegGNN,german_g,Error Gap,0.014576894655867336,0.0
21,GATRegressor,german_g,Error Gap,0.05382561683654785,0.0
22,GCNRegressor,german_g,Error Gap,0.04169900715351105,0.0
23,GINRegressor,german_g,Error Gap,0.2288116507769687,0.0
24,GMMD,german_g,Error Gap,0.06821918487548828,0.0
25,GraphSAGERegressor,german_g,Error Gap,0.03921361267566681,0.0
26,MLPRegressor,german_g,Error Gap,0.07294237613677979,0.0
27,FMP,german_h,Error Gap,0.03808075189590454,0.0
28,FairGNN,german_h,Error Gap,0.010594123974442482,0.0
29,FairRegGNN,german_h,Error Gap,0.01086263782606586,0.0
30,GATRegressor,german_h,Error Gap,0.03477513790130615,0.0
31,GCNRegressor,german_h,Error Gap,0.06701961159706116,0.0
32,GINRegressor,german_h,Error Gap,0.13321968913078308,0.0
33,GMMD,german_h,Error Gap,0.09069497665244533,0.0
34,GraphSAGERegressor,german_h,Error Gap,0.06926609575748444,0.0
35,MLPRegressor,german_h,Error Gap,0.06112682819366455,0.0
36,FMP,german_s,Error Gap,0.049220383167266846,0.0
37,FairGNN,german_s,Error Gap,0.025873739272356033,0.0
38,FairRegGNN,german_s,Error Gap,0.013174361983203275,0.0
39,GATRegressor,german_s,Error Gap,0.032047078013420105,0.0
40,GCNRegressor,german_s,Error Gap,0.057708531618118286,0.0
41,GINRegressor,german_s,Error Gap,0.09889698028564453,0.0
42,GMMD,german_s,Error Gap,0.11296975702857232,0.0
43,GraphSAGERegressor,german_s,Error Gap,0.06855326890945435,0.0
44,MLPRegressor,german_s,Error Gap,0.11567668616771698,0.0
45,FMP,german_t,Error Gap,0.04532116651535034,0.0
46,FairGNN,german_t,Error Gap,0.008961893618106842,0.0
47,FairRegGNN,german_t,Error Gap,0.009056831826447152,0.0
48,GATRegressor,german_t,Error Gap,0.03530400991439819,0.0
49,GCNRegressor,german_t,Error Gap,0.025919854640960693,0.0
50,GINRegressor,german_t,Error Gap,0.11931217820202883,0.0
51,GMMD,german_t,Error Gap,0.09221870369555382,0.0
52,GraphSAGERegressor,german_t,Error Gap,0.1484004110097885,0.0
53,MLPRegressor,german_t,Error Gap,0.06725837290287018,0.0
54,FMP,nba_m,Error Gap,0.02324719727039337,0.0
55,FairGNN,nba_m,Error Gap,0.388702392578125,0.0
56,FairRegGNN,nba_m,Error Gap,0.05040532350540161,0.0
57,GATRegressor,nba_m,Error Gap,0.09390854835510254,0.0
58,GCNRegressor,nba_m,Error Gap,0.020016610622406006,0.0
59,GINRegressor,nba_m,Error Gap,0.01621103286743164,0.0
60,GMMD,nba_m,Error Gap,0.22822822822822822,0.0
61,GraphSAGERegressor,nba_m,Error Gap,0.030263952910900116,0.0
62,MLPRegressor,nba_m,Error Gap,0.01467922329902649,0.0
63,FMP,nba_p,Error Gap,0.05232203006744385,0.0
64,FairGNN,nba_p,Error Gap,0.026457250118255615,0.0
65,FairRegGNN,nba_p,Error Gap,0.03311490159120764,0.0
66,GATRegressor,nba_p,Error Gap,0.045101940631866455,0.0
67,GCNRegressor,nba_p,Error Gap,0.0920865535736084,0.0
68,GINRegressor,nba_p,Error Gap,0.11759310960769653,0.0
69,GMMD,nba_p,Error Gap,0.021492451429367065,0.0
70,GraphSAGERegressor,nba_p,Error Gap,0.09267506003379822,0.0
71,MLPRegressor,nba_p,Error Gap,0.02475377917289734,0.0
72,FMP,region_job_2_g,Error Gap,0.006120651960372925,0.0
73,FairGNN,region_job_2_g,Error Gap,0.4894702434539795,0.0
74,FairRegGNN,region_job_2_g,Error Gap,0.003726959228515625,0.0
75,GATRegressor,region_job_2_g,Error Gap,0.011087477207183838,0.0
76,GCNRegressor,region_job_2_g,Error Gap,0.00613558292388916,0.0
77,GINRegressor,region_job_2_g,Error Gap,0.020351827144622803,0.0
78,GMMD,region_job_2_g,Error Gap,0.022986426949501038,0.0
79,GraphSAGERegressor,region_job_2_g,Error Gap,0.017101041972637177,0.0
80,MLPRegressor,region_job_2_g,Error Gap,0.02234790474176407,0.0
81,FMP,region_job_2_r,Error Gap,0.012378036975860596,0.0
82,FairGNN,region_job_2_r,Error Gap,0.6862810850143433,0.0
83,FairRegGNN,region_job_2_r,Error Gap,0.024720430374145508,0.0
84,GATRegressor,region_job_2_r,Error Gap,0.005687117576599121,0.0
85,GCNRegressor,region_job_2_r,Error Gap,0.03504246473312378,0.0
86,GINRegressor,region_job_2_r,Error Gap,0.02012866735458374,0.0
87,GMMD,region_job_2_r,Error Gap,0.010462045669555664,0.0
88,GraphSAGERegressor,region_job_2_r,Error Gap,0.013209961354732513,0.0
89,MLPRegressor,region_job_2_r,Error Gap,0.0112982839345932,0.0
90,FMP,region_job_g,Error Gap,0.0020252466201782227,0.0
91,FairGNN,region_job_g,Error Gap,0.321710467338562,0.0
92,FairRegGNN,region_job_g,Error Gap,0.009839635342359543,0.0
93,GATRegressor,region_job_g,Error Gap,0.011380434036254883,0.0
94,GCNRegressor,region_job_g,Error Gap,0.0010028481483459473,0.0
95,GINRegressor,region_job_g,Error Gap,0.021067678928375244,0.0
96,GMMD,region_job_g,Error Gap,0.021507538855075836,0.0
97,GraphSAGERegressor,region_job_g,Error Gap,0.01596219837665558,0.0
