,Model,Dataset,Metric,Mean,Std
83,GATRegressor,region_job_g,Error Gap,0.011380374431610107,0.0
84,GCNRegressor,region_job_g,Error Gap,0.0010028481483459473,0.0
85,GINRegressor,region_job_g,Error Gap,0.021067678928375244,0.0
86,GraphSAGERegressor,region_job_g,Error Gap,0.01596219837665558,0.0
87,MLPRegressor,region_job_g,Error Gap,0.020653074943872883,0.0
88,FMP,region_job_r,Error Gap,0.004954442381858826,0.0
89,FairGNN,region_job_r,Error Gap,0.2995508909225464,0.0
90,FairRegGNN,region_job_r,Error Gap,0.01912778615951538,0.0
91,GATRegressor,region_job_r,Error Gap,0.008938908576965332,0.0
92,GCNRegressor,region_job_r,Error Gap,0.01637369394302368,0.0
93,GINRegressor,region_job_r,Error Gap,0.01545727252960205,0.0
94,GraphSAGERegressor,region_job_r,Error Gap,0.004809103906154633,0.0
95,MLPRegressor,region_job_r,Error Gap,0.0030343346297740936,0.0
96,FMP,german_e,KS Gap,1.024043083190918,0.0
97,FairGNN,german_e,KS Gap,1.095358967781067,0.0
98,FairRegGNN,german_e,KS Gap,1.0865651369094849,0.0
99,GATRegressor,german_e,KS Gap,1.0099505186080933,0.0
100,GCNRegressor,german_e,KS Gap,1.044376254081726,0.0
101,GINRegressor,german_e,KS Gap,1.8086761236190796,0.0
102,GraphSAGERegressor,german_e,KS Gap,1.0480884313583374,0.0
103,MLPRegressor,german_e,KS Gap,1.064215898513794,0.0
104,FMP,german_f,KS Gap,1.0163862705230713,0.0
105,FairGNN,german_f,KS Gap,1.079000473022461,0.0
106,FairRegGNN,german_f,KS Gap,1.0867414474487305,0.0
107,GATRegressor,german_f,KS Gap,0.9866842031478882,0.0
108,GCNRegressor,german_f,KS Gap,1.0462065935134888,0.0
109,GINRegressor,german_f,KS Gap,1.7198647260665894,0.0
110,GraphSAGERegressor,german_f,KS Gap,1.047899603843689,0.0
111,MLPRegressor,german_f,KS Gap,1.0590112209320068,0.0
112,FMP,german_g,KS Gap,1.0084205865859985,0.0
113,FairGNN,german_g,KS Gap,1.0957669019699097,0.0
114,FairRegGNN,german_g,KS Gap,1.0837352275848389,0.0
115,GATRegressor,german_g,KS Gap,1.0156185626983643,0.0
116,GCNRegressor,german_g,KS Gap,1.0430188179016113,0.0
117,GINRegressor,german_g,KS Gap,1.8088306188583374,0.0
118,GraphSAGERegressor,german_g,KS Gap,1.030843734741211,0.0
119,MLPRegressor,german_g,KS Gap,1.0309780836105347,0.0
120,FMP,german_h,KS Gap,1.0007127523422241,0.0
121,FairGNN,german_h,KS Gap,1.091257095336914,0.0
122,FairRegGNN,german_h,KS Gap,1.0588682889938354,0.0
123,GATRegressor,german_h,KS Gap,1.0318299531936646,0.0
124,GCNRegressor,german_h,KS Gap,1.0430949926376343,0.0
125,GINRegressor,german_h,KS Gap,1.3312734365463257,0.0
126,GraphSAGERegressor,german_h,KS Gap,1.067041039466858,0.0
127,MLPRegressor,german_h,KS Gap,1.0799592733383179,0.0
128,FMP,german_s,KS Gap,1.0344172716140747,0.0
129,FairGNN,german_s,KS Gap,1.103387475013733,0.0
130,FairRegGNN,german_s,KS Gap,1.0604344606399536,0.0
131,GATRegressor,german_s,KS Gap,1.0087339878082275,0.0
132,GCNRegressor,german_s,KS Gap,1.0544377565383911,0.0
133,GINRegressor,german_s,KS Gap,2.079282522201538,0.0
134,GraphSAGERegressor,german_s,KS Gap,1.0003116130828857,0.0
135,MLPRegressor,german_s,KS Gap,1.0739555358886719,0.0
136,FMP,german_t,KS Gap,1.0048683881759644,0.0
137,FairGNN,german_t,KS Gap,1.0909978151321411,0.0
138,FairRegGNN,german_t,KS Gap,1.0810155868530273,0.0
139,GATRegressor,german_t,KS Gap,1.0084270238876343,0.0
140,GCNRegressor,german_t,KS Gap,1.0321282148361206,0.0
141,GINRegressor,german_t,KS Gap,1.137380599975586,0.0
142,GraphSAGERegressor,german_t,KS Gap,1.0597788095474243,0.0
143,MLPRegressor,german_t,KS Gap,1.0420817136764526,0.0
144,FMP,nba_m,KS Gap,0.556961178779602,0.0
145,FairGNN,nba_m,KS Gap,1.7698657512664795,0.0
146,FairRegGNN,nba_m,KS Gap,0.8911693096160889,0.0
147,GATRegressor,nba_m,KS Gap,0.8320327401161194,0.0
148,GCNRegressor,nba_m,KS Gap,0.7870808839797974,0.0
149,GINRegressor,nba_m,KS Gap,1.0131206512451172,0.0
150,GraphSAGERegressor,nba_m,KS Gap,1.077126145362854,0.0
151,MLPRegressor,nba_m,KS Gap,1.0851374864578247,0.0
152,FMP,nba_p,KS Gap,0.5850508213043213,0.0
153,FairGNN,nba_p,KS Gap,0.9708158373832703,0.0
154,FairRegGNN,nba_p,KS Gap,0.7006871104240417,0.0
155,GATRegressor,nba_p,KS Gap,0.6981481909751892,0.0
156,GCNRegressor,nba_p,KS Gap,0.6368789076805115,0.0
157,GINRegressor,nba_p,KS Gap,0.8479435443878174,0.0
158,GraphSAGERegressor,nba_p,KS Gap,1.1039475202560425,0.0
159,MLPRegressor,nba_p,KS Gap,1.1183727979660034,0.0
160,FMP,region_job_2_g,KS Gap,0.4985869824886322,0.0
161,FairGNN,region_job_2_g,KS Gap,4.329047679901123,0.0
162,FairRegGNN,region_job_2_g,KS Gap,0.6006358861923218,0.0
163,GATRegressor,region_job_2_g,KS Gap,0.7723894715309143,0.0
164,GCNRegressor,region_job_2_g,KS Gap,0.5427123308181763,0.0
165,GINRegressor,region_job_2_g,KS Gap,0.6422701478004456,0.0
166,GraphSAGERegressor,region_job_2_g,KS Gap,0.9518308639526367,0.0
